epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,103.263,1.39515,1.51382,1.81692,0.90961,0.78291,0.82724,0.37235,1.77883,1.35792,2.32967,0.00643101,0.00643101,0.00643101
43,105.5,1.34818,1.4934,1.81184,0.75883,0.57051,0.65544,0.34721,1.7337,1.41915,2.29235,0.00628101,0.00628101,0.00628101
44,107.689,1.35444,1.50653,1.81329,0.82404,0.74329,0.81375,0.32804,1.90067,1.64886,2.58672,0.00612981,0.00612981,0.00612981
45,109.992,1.35697,1.48041,1.81047,0.84536,0.74876,0.80711,0.39764,1.77993,1.49316,2.37373,0.00597754,0.00597754,0.00597754
46,112.219,1.34463,1.44701,1.79114,0.88249,0.67949,0.74591,0.28884,2.20504,1.70968,2.91072,0.00582435,0.00582435,0.00582435
47,114.526,1.48277,1.52458,1.89083,0.79117,0.73132,0.7634,0.2332,2.59126,1.74255,3.58075,0.0056704,0.0056704,0.0056704
48,116.765,1.35527,1.45809,1.8105,0.72466,0.76928,0.75245,0.29631,1.9317,1.66275,2.5079,0.00551584,0.00551584,0.00551584
49,118.964,1.35706,1.46276,1.79701,0.6165,0.76612,0.73049,0.30441,1.94266,1.48719,2.52377,0.00536081,0.00536081,0.00536081
50,121.173,1.35601,1.49922,1.83226,0.78899,0.72974,0.77853,0.36924,1.83984,1.52444,2.41638,0.00520548,0.00520548,0.00520548
51,123.373,1.27788,1.41467,1.73809,0.73324,0.77137,0.76627,0.37466,1.75355,1.52696,2.34385,0.00505,0.00505,0.00505
52,125.677,1.31259,1.47963,1.77622,0.81659,0.79274,0.80399,0.3676,1.8899,1.48802,2.51227,0.00489452,0.00489452,0.00489452
53,127.943,1.33407,1.4291,1.7665,0.89584,0.75427,0.82992,0.39694,1.93891,1.38946,2.51405,0.00473919,0.00473919,0.00473919
54,130.2,1.31925,1.43758,1.75823,0.90337,0.75231,0.81067,0.41824,1.96067,1.61981,2.54767,0.00458416,0.00458416,0.00458416
55,132.438,1.27984,1.43555,1.7431,0.83073,0.7906,0.80121,0.40864,1.94115,1.66298,2.56507,0.0044296,0.0044296,0.0044296
56,134.591,1.36171,1.45954,1.78913,0.855,0.69622,0.79801,0.40751,1.7814,1.23299,2.33947,0.00427565,0.00427565,0.00427565
57,136.827,1.31584,1.41143,1.76307,0.80526,0.73504,0.78087,0.36769,1.80014,1.33511,2.36766,0.00412246,0.00412246,0.00412246
58,139.077,1.30375,1.39083,1.72871,0.89423,0.7935,0.85548,0.39956,1.87644,1.24944,2.36721,0.00397019,0.00397019,0.00397019
59,141.349,1.29084,1.36445,1.72757,0.904,0.80803,0.84673,0.40215,1.91948,1.23241,2.47602,0.00381899,0.00381899,0.00381899
60,143.567,1.29663,1.36145,1.75353,0.84041,0.75427,0.78165,0.38482,1.99112,1.49844,2.63946,0.00366899,0.00366899,0.00366899
61,145.778,1.30823,1.40303,1.75424,0.81561,0.8372,0.83394,0.398,2.06784,1.47186,2.73489,0.00352037,0.00352037,0.00352037
62,147.977,1.20844,1.30736,1.67717,0.80992,0.82906,0.81147,0.39843,2.07958,1.40988,2.69037,0.00337325,0.00337325,0.00337325
63,150.2,1.30461,1.37283,1.74318,0.93346,0.80496,0.84026,0.43166,1.79595,1.13172,2.35965,0.00322778,0.00322778,0.00322778
64,152.432,1.29025,1.36722,1.74306,0.90502,0.81197,0.87078,0.46322,1.57751,1.0189,2.10757,0.00308412,0.00308412,0.00308412
65,154.698,1.26155,1.29066,1.71578,0.8092,0.78,0.84946,0.43827,1.81426,1.23137,2.37494,0.00294239,0.00294239,0.00294239
66,156.891,1.25786,1.34106,1.72482,0.91394,0.73929,0.8119,0.36636,2.01288,1.31134,2.67561,0.00280275,0.00280275,0.00280275
67,159.108,1.25929,1.32756,1.71807,0.79848,0.65812,0.78161,0.35615,1.89138,1.33626,2.52795,0.00266532,0.00266532,0.00266532
68,161.36,1.25601,1.33617,1.72411,0.90362,0.83082,0.85923,0.44037,1.62913,1.05264,2.18177,0.00253024,0.00253024,0.00253024
69,163.604,1.23723,1.29683,1.69184,0.89179,0.81197,0.85554,0.41634,1.63439,1.1114,2.1137,0.00239766,0.00239766,0.00239766
70,165.872,1.21689,1.26362,1.67108,0.92791,0.7735,0.86574,0.44629,1.59494,1.06909,2.0647,0.00226769,0.00226769,0.00226769
71,168.151,1.23375,1.31367,1.7069,0.9402,0.76765,0.83919,0.43086,1.74566,1.13306,2.23873,0.00214046,0.00214046,0.00214046
72,170.465,1.26036,1.28659,1.72657,0.93907,0.82906,0.86121,0.47424,1.61611,1.17081,2.09598,0.00201611,0.00201611,0.00201611
73,172.673,1.23032,1.2845,1.69501,0.9128,0.7291,0.85045,0.4551,1.56763,1.29494,2.10118,0.00189475,0.00189475,0.00189475
74,174.801,1.21851,1.29674,1.69258,0.8808,0.7735,0.84179,0.40593,1.65586,1.26653,2.16419,0.00177651,0.00177651,0.00177651
75,177.166,1.19273,1.27911,1.67584,0.95027,0.77866,0.88531,0.44496,1.54787,1.14142,2.0782,0.00166149,0.00166149,0.00166149
76,179.415,1.19057,1.21791,1.65875,0.91167,0.77632,0.87594,0.46854,1.5691,1.15668,2.0879,0.00154982,0.00154982,0.00154982
77,181.642,1.19423,1.25044,1.65943,0.91347,0.7735,0.86116,0.44819,1.60831,1.11902,2.14453,0.00144161,0.00144161,0.00144161
78,183.895,1.19768,1.23744,1.66762,0.93235,0.77818,0.89145,0.42278,1.82453,1.23052,2.41574,0.00133695,0.00133695,0.00133695
79,186.075,1.206,1.25755,1.65871,0.95024,0.81595,0.89216,0.43395,1.73531,1.1959,2.29559,0.00123596,0.00123596,0.00123596
80,188.272,1.18586,1.22992,1.65844,0.93737,0.80993,0.89725,0.45769,1.61284,1.05238,2.1458,0.00113873,0.00113873,0.00113873
81,190.515,1.19916,1.21298,1.66566,0.89623,0.78123,0.86238,0.4379,1.59194,1.06739,2.13037,0.00104537,0.00104537,0.00104537
82,192.752,1.18878,1.20885,1.66625,0.93642,0.76785,0.86365,0.45028,1.63566,1.13626,2.1737,0.000955951,0.000955951,0.000955951
83,194.945,1.16081,1.2175,1.63068,0.94231,0.7697,0.87975,0.45214,1.64988,1.12744,2.19418,0.000870577,0.000870577,0.000870577
84,197.203,1.14506,1.19623,1.61425,0.95818,0.78238,0.89255,0.46126,1.5965,1.02509,2.14018,0.000789327,0.000789327,0.000789327
85,199.416,1.17951,1.21776,1.64167,0.95638,0.78368,0.87748,0.46911,1.54338,1.06056,2.09778,0.000712282,0.000712282,0.000712282
86,201.66,1.17,1.19334,1.63104,0.85213,0.85035,0.87867,0.44722,1.62782,1.16103,2.17264,0.000639518,0.000639518,0.000639518
87,203.843,1.18726,1.23367,1.65718,0.89875,0.75427,0.85123,0.43843,1.70642,1.21851,2.27057,0.000571106,0.000571106,0.000571106
